ID,files,abbr,name,typeOfIdentifier,expansion,enclosingMethod
27,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,v,JcaX509v3CertificateBuilder,ClassName,null_5,
28,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/help/History.java;,v,m_vHistory,FieldName,visited,
29,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DNewKeyStoreType.java;,v,BKS_V1,VariableName,null_1,MethodName:updateControls;MethodName:initMenu;MethodName:okPressed;MethodName:act;
30,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/jar/DJarInfo.java;,v,vJars,VariableName,null-2,MethodName:getClassPathJars;
31,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,v,microsoftCertTemplateV2,VariableName,null_1,MethodName:getStringValue;
32,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/JMenuRecentFiles.java;,tmp,jmirfTmp,VariableName,temporary,MethodName:add;
33,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,tmp,tmpCerts,VariableName,temporary,MethodName:orderX509CertChain;
34,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,tmp,tmp,VariableName,temporary,MethodName:stringify;
35,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/JMenuRecentFiles.java;,tmp,jmirfTmp,VariableName,temporary,MethodName:add;
36,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,tmp,fTmp,VariableName,temporary,MethodName:showOptions;
37,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,tmp,tmp,VariableName,temporary,MethodName:getHexClearDump;
38,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,tmp,tmp,VariableName,temporary,MethodName:getNovellQualityAttr;
39,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,tmp,tmpChain,VariableName,temporary,MethodName:establishTrust;
40,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,tm,tm,VariableName,trust manager,MethodName:examineCertSSL;
41,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,tm,sTM,VariableName,null,MethodName:getNovellSecurityAttributesStringValue;
42,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;,tf,TF_FACTORY,FieldName,transformer,
43,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCertificate.java;,tf,gbcTf,VariableName,null,MethodName:initComponents;
44,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCSR.java;,tf,gbcTf,VariableName,null,MethodName:initComponents;
45,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCRL.java;,tf,gbcTf,VariableName,null,MethodName:initComponents;
46,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;,tf,TF_PROPS,FieldName,transformer,
47,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/help/FHelp.java;,temp,temp,VariableName,temporary,MethodName:FHelp;MethodName:actionPerformed;
48,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/NetUtil.java;,temp,createTempFile,MethodName,temporary,
49,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/NetUtil.java;,temp,tempFile,VariableName,temporary,MethodName:download;
50,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/help/FHelp.java;,temp,temp,VariableName,temporary,MethodName:actionPerformed;MethodName:FHelp;
51,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,temp,tempStore,VariableName,temporary,MethodName:importKeyPair;
52,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/about/DSystemProperties.java;,t,tWidth,VariableName,table,MethodName:initComponents;
53,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,t,t,ParameterName,transferable,MethodName:importData;
54,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/error/DThrowable.java;,t,t,VariableName,throwable,MethodName:initComponents;
55,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,t,t,VariableName,throwable,MethodName:main;
56,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/about/DSystemInformation.java;,sys,sysProps,VariableName,system,MethodName:initComponents;
57,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/about/SystemPropertiesTableModel.java;,sys,sysProps,VariableName,system,MethodName:load;
58,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/error/DThrowableDetail.java;,ste,ste,VariableName,stack trace element,MethodName:createThrowableNodes;
59,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/error/DThrowableDetail.java;,ste,ste,VariableName,stack trace element,MethodName:copyPressed;
60,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/SignatureType.java;,st,st,VariableName,signature type,
61,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;,st,st,VariableName,signature type,MethodName:populateSigAlgs;
62,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,st,ST,VariableName,null,MethodName:generateCert;
63,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;,sig,populateSigAlgs,MethodName,signature,
64,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCSR.java;,sig,sigAlgName,VariableName,signature,MethodName:populateDialog;
65,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DKeyStoreReport.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCertificate.java;,sig,getSigAlgName,MethodName,signature,
66,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;,sig,jlSigAlg,VariableName,signature,MethodName:initComponents;
67,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCRL.java;,sig,getSigAlgName,MethodName,signature,
68,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCertificate.java;,sig,sigAlgName,VariableName,signature,MethodName:populateDialog;
69,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;,sig,gbc_jlSigAlg,VariableName,signature,MethodName:initComponents;
70,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;,sig,m_jcbSigAlg,FieldName,signature,
71,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DGenerateCertificate.java;,sig,gbc_jcbSigAlg,VariableName,signature,MethodName:initComponents;
72,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,sf,visitSFNetProject,MethodName,source forge,
73,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,sf,sf,VariableName,socket factory,MethodName:examineCertSSL;
74,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,sf,jmiSFNetProject,VariableName,source forge,MethodName:initMenu;
75,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,seq,seq,ParameterName,sequence,MethodName:getNovellQualityAttr;
76,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,seq,seq,VariableName,sequence,MethodName:getMicrosoftCertificateTemplateV2StringValue;
77,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,seq,pSeq,VariableName,sequence,MethodName:getCertificatePoliciesStringValue;
78,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,sc,sc,VariableName,ssl context,MethodName:examineCertSSL;
79,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sc,sc,VariableName,null,MethodName:getNovellSecurityAttributesStringValue;
80,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getCrlDistributionPointsStringValue;
81,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getLink;
82,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/DigestUtil.java;,sb,sb,VariableName,string builder,MethodName:getMessageDigest;
83,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getMicrosoftCAVersionStringValue;
84,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getNovellSecurityAttributesStringValue;
85,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sbClr,VariableName,string builder,MethodName:getHexClearDump;
86,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/StringUtil.java;,sb,sb,VariableName,string builder ,MethodName:toHex;
87,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getLogotypeStringValue;
88,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getInformationAccessStringValue;
89,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,sb,sb,VariableName,string builder,MethodName:getSmimeCapabilitiesStringValue;
90,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,s,sOid,VariableName,string,MethodName:getExtendedKeyUsageStringValue;
91,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/FileExtFilter.java;,s,sExt,ParameterName,string,MethodName:FileExtFilter;
92,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,s,sMessage,VariableName,selected,MethodName:confirmOverwrite;
93,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,s,sUri,VariableName,sequence,MethodName:getCertificatePoliciesStringValue;
94,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,s,sAlias,VariableName,store,MethodName:changeKeyStoreType;
95,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,s,sMessage,VariableName,selected,MethodName:exportAllCertsPkcs7;
96,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,s,sUri,VariableName,sequence,MethodName:getNovellSecurityAttributesStringValue;
97,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,s,sCountryCode,ParameterName,string,MethodName:generateCert;
98,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,s,sRc,VariableName,string,MethodName:getReasonCodeStringValue;
99,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,s,m_sName,FieldName,null,
100,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,res,getResImage,MethodName,resource,
101,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,res,getRes,MethodName,resource,
102,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,res,res,VariableName,resource,MethodName:getHoldInstructionCodeStringValue;
103,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FileChooserFactory.java;,res,res,VariableName,resource,MethodName:toWildcards;
104,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,res,res,VariableName,resource,MethodName:getNovellQualityAttr;
105,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCSR.java;,req,m_req,FieldName,request,
106,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,req,REQ_BC_VERSION,FieldName,required,
107,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCSR.java;,req,req,ParameterName,request,MethodName:DViewCSR;
108,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,rc,sRc,VariableName,null,MethodName:getReasonCodeStringValue;
109,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCRL.java;,rc,rcModel,VariableName,revoked certs,MethodName:initComponents;
110,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,rc,iRc,VariableName,null,MethodName:getReasonCodeStringValue;
111,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,pw,pw,VariableName,pem writer,MethodName:generateCsrSelectedEntry;
112,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/gui/crypto/DViewPEM.java;,pw,pw,VariableName,pem writer,MethodName:initComponents;
113,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyStoreUtil.java;,pw,pwFinder,ParameterName,password,MethodName:loadEntries;
114,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,pw,pw,VariableName,pem writer,MethodName:exportPrivKeyCertChainPEM;
115,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,pw,pw,VariableName,pem writer,MethodName:exportHeadCertOnlyPem;
116,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/ProviderUtil.java;,prov,prov,VariableName,provider,MethodName:getPkcs11Providers;
117,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DChoosePkcs11Provider.java;,prov,prov,VariableName,provider,MethodName:initComponents;
118,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prov,bcProvClass,VariableName,provider,MethodName:main;
119,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prov,addProv,VariableName,provider,MethodName:main;
120,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prov,provClass,VariableName,provider,MethodName:main;
121,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,prov,prov,VariableName,provider,MethodName:loadCSR;
122,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prov,bcProv,VariableName,provider,MethodName:main;
123,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prov,sProv,VariableName,provider,MethodName:setDefaultStatusBarText;
124,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prov,prov,VariableName,provider,MethodName:main;
125,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,prov,prov,VariableName,provider,MethodName:generatePKCS10CSR;
126,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,priv,privKey,VariableName,private,MethodName:generateCsrSelectedEntry;
127,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,priv,exportPrivKeyCertChainPEM,MethodName,private,
128,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,priv,privKey,VariableName,private,MethodName:exportPrivKeyCertChainPKCS12;
129,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,priv,exportPrivKeyCertChainPKCS12,MethodName,private,
130,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,priv,privKey,VariableName,private,MethodName:exportPrivKeyCertChainPEM;
131,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,priv,privKey,VariableName,private,MethodName:importCAReplySelectedEntry;
132,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DExport.java;,priv,m_jrbPrivKeyCertChain,FieldName,private,
133,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prefs,PREFS,FieldName,preferences,
134,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,prefs,saveAppPrefs,MethodName,preferences,
135,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,pr,pr,VariableName,parser,MethodName:loadCSR;
136,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,pr,pr,VariableName,parser,MethodName:loadCertificates;
137,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,pos,iXPos,VariableName,position,MethodName:initComponents;
138,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/FPortecle.java;,pos,iYPos,VariableName,position,MethodName:initComponents;
139,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,params,DSAParams,ClassName,parameters,
140,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,params,getParams,MethodName,parameters,
141,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,params,sParams,VariableName,parameters,MethodName:getSmimeCapabilitiesStringValue;
142,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,params,keyParams,ParameterName,parameters,MethodName:getKeyLength;
143,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,params,params,VariableName,parameters,MethodName:getSmimeCapabilitiesStringValue;
144,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,params,getParams,MethodName,parameters,
145,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DViewCSR.java;,params,keyParams,VariableName,parameters,MethodName:populateDialog;
146,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/ProviderUtil.java;,p,pName,VariableName,provider,MethodName:getPkcs11Providers;
147,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,p,pQuals,VariableName,policies,MethodName:getCertificatePoliciesStringValue;
148,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DChoosePkcs11Provider.java;,p,pName,VariableName,provider,MethodName:initComponents;
149,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,p,getP,MethodName,parameter,
150,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/DChoosePkcs11Provider.java;,p,p11s,VariableName,provider,MethodName:initComponents;
151,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,p,getP,MethodName,parameter,
152,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/ProviderUtil.java;,p,p11s,VariableName,provider,MethodName:getPkcs11Providers;
153,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/KeyPairUtil.java;,p,getP,MethodName,parameter,
154,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,p,pSeq,VariableName,policies,MethodName:getCertificatePoliciesStringValue;
155,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,p,iPAddress,VariableName,null,MethodName:getGeneralNameString;
156,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,oid,sOid,VariableName,object identifier,MethodName:getExtendedKeyUsageStringValue;
157,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/SignatureType.java;,oid,oid,ParameterName,object identifier,MethodName:toString;
158,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/ExtensionsTableModel.java;C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,oid,getOid,MethodName,object identifier,
159,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509CertUtil.java;,oid,oid,VariableName,object identifier,MethodName:renewCert;
160,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,oid,sOid,ParameterName,object identifier,MethodName:X509Ext;
161,C:/PHDONE/runtime-EclipseApplication/portecle-master/src/main/net/sf/portecle/crypto/X509Ext.java;,oid,getUnknownOidStringValue,MethodName,object identifier,
